city,country,host,id,price,review,stars,timestamp,titre
gammarth,tunisia,booking.com,179422,3472.0,8.6,5,2018-06-24 21:37:02.802253,the residence tunis
"tunis centre , tunis",tunisia,booking.com,255777,896.0,8.0,3,2018-06-24 21:37:02.802253,hotel carlton
gammarth,tunisia,booking.com,42038,1666.0,6.1,5,2018-06-24 21:37:02.802253,el mouradi gammarth
yasmine hammamet,tunisia,booking.com,235214,2784.0,8.5,5,2018-06-24 21:37:02.802253,the russelior hotel & spa
tunis,tunisia,booking.com,42040,938.0,6.9,4,2018-06-24 21:37:02.802253,golden tulip el mechtel
yasmine hammamet,tunisia,booking.com,42058,1546.0,5.7,3,2018-06-24 21:37:02.802253,hotel la couronne
midoun,tunisia,booking.com,42068,2620.0,7.7,4,2018-06-24 21:37:02.802253,caribbean world thalasso djerba - all inclusive
"tunis centre , tunis",tunisia,booking.com,42028,1142.0,7.2,5,2018-06-24 21:37:02.802253,el mouradi hotel africa tunis
yasmine hammamet,tunisia,booking.com,175586,3049.0,8.3,4,2018-06-24 21:37:02.802253,iberostar averroes
yasmine hammamet,tunisia,booking.com,42032,1924.0,8.3,4,2018-06-24 21:37:02.802253,sentido le sultan
yasmine hammamet,tunisia,booking.com,42114,2457.0,8.1,5,2018-06-24 21:37:02.802253,the sindbad
port el kantaoui,tunisia,booking.com,42103,2596.0,8.1,4,2018-06-24 21:37:02.802253,seabel alhambra beach golf & spa
tunis,tunisia,booking.com,238176,1864.0,6.4,3,2018-06-24 21:37:02.802253,ambassadeurs hotel
tunis,tunisia,booking.com,180072,1060.0,7.2,5,2018-06-24 21:37:02.802253,tunis grand hotel
yasmine hammamet,tunisia,booking.com,175643,1871.0,7.5,4,2018-06-24 21:37:02.802253,medina belisaire and thalasso
broummana,lebanon,booking.com,73125,3549.0,8.5,5,2018-06-24 21:37:02.802253,"grand hills, a luxury collection hotel & spa"
beirut,lebanon,booking.com,295808,5473.0,8.9,5,2018-06-24 21:37:02.802253,four seasons hotel beirut
beirut,lebanon,booking.com,69909,777.0,7.6,4,2018-06-24 21:37:02.802253,the mayflower hotel
jounieh,lebanon,booking.com,249227,1564.0,7.1,5,2018-06-24 21:37:02.802253,portemilio hotel & resort
beirut,lebanon,booking.com,3130070,842.0,8.8,4,2018-06-24 21:37:02.802253,hamra urban gardens
beirut,lebanon,booking.com,73297,3007.0,8.1,5,2018-06-24 21:37:02.802253,le royal hotels - beirut
beirut,lebanon,booking.com,1239969,1462.0,8.8,5,2018-06-24 21:37:02.802253,1866 court & suites hotel
beirut,lebanon,booking.com,378884,962.0,8.5,4,2018-06-24 21:37:02.802253,santonaresidence
beirut,lebanon,booking.com,78602,1383.0,7.5,4,2018-06-24 21:37:02.802253,monroe hotel beirut
beirut,lebanon,booking.com,248297,974.0,9.0,4,2018-06-24 21:37:02.802253,the living by beirut homes
beirut,lebanon,booking.com,299167,2189.0,9.0,4,2018-06-24 21:37:02.802253,parktower suites
jounieh,lebanon,booking.com,1006337,629.0,8.0,3,2018-06-24 21:37:02.802253,vista del mar hotel
amman,jordan,booking.com,2701065,1599.0,9.2,5,2018-06-24 21:37:02.802253,the house boutique suites
wadi musa,jordan,booking.com,393582,627.0,7.0,3,2018-06-24 21:37:02.802253,petra palace hotel
wadi musa,jordan,booking.com,182402,559.0,8.2,3,2018-06-24 21:37:02.802253,la maison hotel
amman,jordan,booking.com,1142364,1599.0,8.2,5,2018-06-24 21:37:02.802253,the boulevard arjaan by rotana
amman,jordan,booking.com,1724985,1697.0,8.6,5,2018-06-24 21:37:02.802253,amman rotana
amman,jordan,booking.com,379811,576.0,8.1,2,2018-06-24 21:37:02.802253,amman pasha hotel
wadi musa,jordan,booking.com,405702,593.0,8.0,3,2018-06-24 21:37:02.802253,seven wonders hotel
amman,jordan,booking.com,182408,792.0,8.1,3,2018-06-24 21:37:02.802253,toledo amman hotel
amman,jordan,booking.com,1879599,728.0,8.3,4,2018-06-24 21:37:02.802253,tilal almadina hotel & suites
amman,jordan,booking.com,381959,1080.0,8.9,4,2018-06-24 21:37:02.802253,ayass hotel
wadi musa,jordan,booking.com,21959,671.0,8.3,4,2018-06-24 21:37:02.802253,petra sella hotel
amman,jordan,booking.com,72285,1732.0,8.2,5,2018-06-24 21:37:02.802253,sheraton amman al-nabil hotel
sowayma,jordan,booking.com,1565221,1987.0,8.2,5,2018-06-24 21:37:02.802253,hilton dead sea resort & spa
amman,jordan,booking.com,1639589,1113.0,8.3,4,2018-06-24 21:37:02.802253,seven roses hotel
essaouira,morocco,booking.com,289970,2318.0,8.9,5,2018-06-24 21:37:02.802253,heure bleue palais - relais & chateaux
"hivernage, marrakech",morocco,booking.com,435314,686.0,7.8,3,2018-06-24 21:37:02.802253,hotel lawrence d'arabie
douar soukkane,morocco,booking.com,722702,4116.0,9.0,5,2018-06-24 21:37:02.802253,palais namaskar
marrakech,morocco,booking.com,386081,3497.0,9.2,5,2018-06-24 21:37:02.802253,selman marrakech
"hassan, rabat",morocco,booking.com,3099254,1134.0,7.9,3,2018-06-24 21:37:02.802253,annakhil
alger,algeria,booking.com,2542544,1734.0,9.3,4,2018-06-24 21:37:02.802253,lamaraz arts hotel
alger,algeria,booking.com,1990334,1108.0,8.1,3,2018-06-24 21:37:02.802253,city hotel alger
oran,algeria,booking.com,400989,2595.0,7.4,5,2018-06-24 21:37:02.802253,le meridien oran hotel
alger,algeria,booking.com,2151954,1301.0,8.2,4,2018-06-24 21:37:02.802253,az hotel vieux kouba
alger,algeria,booking.com,1772780,1283.0,8.5,4,2018-06-24 21:37:02.802253,az hotel kouba
alger,algeria,booking.com,1970790,1425.0,8.2,4,2018-06-24 21:37:02.802253,az hotel vague d'or
zeralda,algeria,booking.com,1668244,1384.0,8.3,4,2018-06-24 21:37:02.802253,az hotel zeralda
blida,algeria,booking.com,3034341,1091.0,,3,2018-06-24 21:37:02.802253,clean hotel
oran,algeria,booking.com,2857250,1220.0,7.0,4,2018-06-24 21:37:02.802253,le zenith hotel oran
abu dhabi,united arab emirates,booking.com,239800,980.0,8.8,5,2018-06-24 21:37:02.802253,"khalidiya palace rayhaan by rotana, abu dhabi"
"jumeirah beach residence, dubai",united arab emirates,booking.com,183420,1497.0,8.7,5,2018-06-24 21:37:02.802253,sofitel dubai jumeirah beach
"al barsha, dubai",united arab emirates,booking.com,1015979,693.0,7.7,4,2018-06-24 21:37:02.802253,doubletree by hilton hotel and residences dubai - al barsha
dubai,united arab emirates,booking.com,551509,1703.0,9.0,5,2018-06-24 21:37:02.802253,the oberoi dubai
dubai,united arab emirates,booking.com,67293,979.0,8.5,4,2018-06-24 21:37:02.802253,flora park deluxe hotel apartments
"downtown dubai, dubai",united arab emirates,booking.com,2572650,1577.0,8.8,5,2018-06-24 21:37:02.802253,damac maison royale the distinction
"bur dubai, dubai",united arab emirates,booking.com,397764,2620.0,8.5,5,2018-06-24 21:37:02.802253,grand hyatt residence
"bur dubai, dubai",united arab emirates,booking.com,1374533,1179.0,8.4,5,2018-06-24 21:37:02.802253,hyatt regency creek heights residences
"bur dubai, dubai",united arab emirates,booking.com,266400,707.0,8.0,5,2018-06-24 21:37:02.802253,park regis kris kin hotel
yasmine hammamet,tunisia,booking.com,179734,1876.0,7.3,4,2018-06-24 21:37:02.802253,hotel paradis palace
"les berges du lac, tunis",tunisia,booking.com,605536,2030.0,7.8,4,2018-06-24 21:37:02.802253,le corail suites hotel
triffa,tunisia,booking.com,180077,2677.0,9.4,5,2018-06-24 21:37:02.802253,hasdrubal prestige djerba
kairouan,tunisia,booking.com,1929496,714.0,8.0,3,2018-06-24 21:37:02.802253,hotel continental
yasmine hammamet,tunisia,booking.com,180051,1758.0,7.0,5,2018-06-24 21:37:02.802253,le royal hammamet
sousse,tunisia,booking.com,42102,2240.0,8.0,5,2018-06-24 21:37:02.802253,sousse palace hotel & spa
gammarth,tunisia,booking.com,42001,1623.0,7.3,5,2018-06-24 21:37:02.802253,golden tulip carthage tunis
tunis,tunisia,booking.com,1006936,980.0,8.0,4,2018-06-24 21:37:02.802253,sofie appart hotel
yasmine hammamet,tunisia,booking.com,1176363,3829.0,9.2,5,2018-06-24 21:37:02.802253,la badira - adult only
yasmine hammamet,tunisia,booking.com,535950,1047.0,7.2,4,2018-06-24 21:37:02.802253,eden yasmine hotel & spa
taguermess,tunisia,booking.com,42101,5508.0,7.9,4,2018-06-24 21:37:02.802253,seabel rym beach djerba
yasmine hammamet,tunisia,booking.com,42113,2174.0,7.5,4,2018-06-24 21:37:02.802253,diar lemdina hotel
jounieh,lebanon,booking.com,315545,1444.0,9.7,4,2018-06-24 21:37:02.802253,adma blue screen
beirut,lebanon,booking.com,68720,1083.0,8.0,4,2018-06-24 21:37:02.802253,lancaster tamar hotel- hadath
broummana,lebanon,booking.com,2618330,1143.0,9.1,3,2018-06-24 21:37:02.802253,quartier suisse hotel
beirut,lebanon,booking.com,647547,2647.0,8.7,5,2018-06-24 21:37:02.802253,staybridge suites hotel.
kfardebian,lebanon,booking.com,2092929,115484.0,,5,2018-06-24 21:37:02.802253,faqra palace
beirut,lebanon,booking.com,182802,4812.0,8.6,5,2018-06-24 21:37:02.802253,le gray
beirut,lebanon,booking.com,433057,1895.0,9.1,4,2018-06-24 21:37:02.802253,saifi suites
amman,jordan,booking.com,446585,3303.0,8.5,5,2018-06-24 21:37:02.802253,four seasons hotel amman
amman,jordan,booking.com,68561,1737.0,8.5,5,2018-06-24 21:37:02.802253,intercontinental jordan
amman,jordan,booking.com,250211,662.0,8.0,3,2018-06-24 21:37:02.802253,larsa hotel
amman,jordan,booking.com,2497396,1601.0,9.1,5,2018-06-24 21:37:02.802253,fairmont amman
aqaba,jordan,booking.com,292186,1008.0,7.7,5,2018-06-24 21:37:02.802253,doubletree by hilton hotel aqaba
amman,jordan,booking.com,263894,732.0,8.2,3,2018-06-24 21:37:02.802253,gardenia hotel
amman,jordan,booking.com,250184,847.0,7.2,3,2018-06-24 21:37:02.802253,hisham hotel
amman,jordan,booking.com,73636,1492.0,7.9,5,2018-06-24 21:37:02.802253,amman marriott hotel
amman,jordan,booking.com,426427,1490.0,8.1,5,2018-06-24 21:37:02.802253,grand millennium hotel amman
amman,jordan,booking.com,2116336,1037.0,8.5,4,2018-06-24 21:37:02.802253,harir palace hotel
amman,jordan,booking.com,73204,1486.0,8.3,5,2018-06-24 21:37:02.802253,le grand amman managed by accorhotels
aqaba,jordan,booking.com,68669,2024.0,8.3,5,2018-06-24 21:37:02.802253,intercontinental aqaba
amman,jordan,booking.com,296798,1715.0,7.9,5,2018-06-24 21:37:02.802253,grand hyatt amman
"medina, marrakech",morocco,booking.com,1306773,2520.0,9.1,5,2018-06-24 21:37:02.802253,hotel & ryad art place marrakech
"hivernage, marrakech",morocco,booking.com,98918,2846.0,8.0,5,2018-06-24 21:37:02.802253,sofitel marrakech palais imperial
"gueliz, marrakech",morocco,booking.com,1728264,1428.0,9.2,4,2018-06-24 21:37:02.802253,2ciels boutique hotel
nouaseur,morocco,booking.com,254379,1134.0,7.4,3,2018-06-24 21:37:02.802253,relax airport
"gueliz, marrakech",morocco,booking.com,1352293,2094.0,8.8,5,2018-06-24 21:37:02.802253,"radisson blu marrakech, carre eden"
casablanca,morocco,booking.com,98239,964.0,7.9,4,2018-06-24 21:37:02.802253,kenzi basma
"medina, marrakech",morocco,booking.com,98808,3178.0,8.9,5,2018-06-24 21:37:02.802253,les jardins de la koutoubia
tangier,morocco,booking.com,254322,1110.0,7.3,4,2018-06-24 21:37:02.802253,atlas rif & spa
tangier,morocco,booking.com,301759,1499.0,7.6,4,2018-06-24 21:37:02.802253,kenzi solazur
oran,algeria,booking.com,3418729,2636.0,,5,2018-06-24 21:37:02.802253,royal oran
akbou,algeria,booking.com,2972660,931.0,,4,2018-06-24 21:37:02.802253,atlantis hotel akbou
deli ibrahim,algeria,booking.com,1737753,1196.0,8.0,4,2018-06-24 21:37:02.802253,holiday inn algiers - cheraga tower
constantine,algeria,booking.com,1916714,1138.0,,4,2018-06-24 21:37:02.802253,hotel el khayem
skikda,algeria,booking.com,2078270,2607.0,8.1,5,2018-06-24 21:37:02.802253,royal tulip skikda
constantine,algeria,booking.com,1495828,1910.0,8.8,5,2018-06-24 21:37:02.802253,constantine marriott hotel
cheraga,algeria,booking.com,3391646,1159.0,,3,2018-06-24 21:37:02.802253,dar diaf bouchaoui
constantine,algeria,booking.com,3418176,790.0,,3,2018-06-24 21:37:02.802253,el bey
"downtown dubai, dubai",united arab emirates,booking.com,185116,1569.0,8.2,4,2018-06-24 21:37:02.802253,ramada downtown dubai
dubai,united arab emirates,booking.com,237024,573.0,7.8,2,2018-06-24 21:37:02.802253,holiday inn express dubai airport
"jumeirah beach residence, dubai",united arab emirates,booking.com,2262135,1710.0,8.6,5,2018-06-24 21:37:02.802253,rixos premium dubai
"dubai internet city, dubai",united arab emirates,booking.com,68468,635.0,7.8,2,2018-06-24 21:37:02.802253,holiday inn express dubai internet city
dubai,united arab emirates,booking.com,69126,979.0,8.6,4,2018-06-24 21:37:02.802253,flora creek deluxe hotel apartments
"garhoud, dubai",united arab emirates,booking.com,67249,842.0,8.5,5,2018-06-24 21:37:02.802253,le meridien dubai hotel & conference centre
"bur dubai, dubai",united arab emirates,booking.com,877948,1246.0,8.8,4,2018-06-24 21:37:02.802253,marriott executive apartments dubai al jaddaf
"trade centre, dubai",united arab emirates,booking.com,69870,786.0,8.1,4,2018-06-24 21:37:02.802253,novotel world trade centre dubai
"trade centre, dubai",united arab emirates,booking.com,1388494,2082.0,8.7,5,2018-06-24 21:37:02.802253,shangri-la apartments
"dubai media city, dubai",united arab emirates,booking.com,73579,1342.0,8.3,4,2018-06-24 21:37:02.802253,arjaan by rotana - dubai media city
port el kantaoui,tunisia,booking.com,175571,3339.0,8.2,5,2018-06-24 21:37:02.802253,iberostar diar el andalous
tunis,tunisia,booking.com,276719,770.0,6.9,4,2018-06-24 21:37:02.802253,majestic hotel
mahdia,tunisia,booking.com,175578,2940.0,8.3,5,2018-06-24 21:37:02.802253,iberostar royal el mansour
midoun,tunisia,booking.com,179908,2062.0,7.2,3,2018-06-24 21:37:02.802253,cedriana - all inclusive
"les berges du lac, tunis",tunisia,booking.com,622433,1790.0,7.9,4,2018-06-24 21:37:02.802253,concorde hotel paris
tozeur,tunisia,booking.com,179415,977.0,7.9,4,2018-06-24 21:37:02.802253,ras el ain
yasmine hammamet,tunisia,booking.com,175648,2412.0,7.7,5,2018-06-24 21:37:02.802253,medina solaria and thalasso
yasmine hammamet,tunisia,booking.com,42095,1778.0,6.7,5,2018-06-24 21:37:02.802253,alhambra thalasso
yasmine hammamet,tunisia,booking.com,264229,6720.0,7.0,3,2018-06-24 21:37:02.802253,hotel club president
"tunis centre , tunis",tunisia,booking.com,248364,934.0,7.6,3,2018-06-24 21:37:02.802253,golf royal hotel
yasmine hammamet,tunisia,booking.com,249834,1386.0,7.7,4,2018-06-24 21:37:02.802253,vincci flora park
midoun,tunisia,booking.com,250260,3994.0,7.8,4,2018-06-24 21:37:02.802253,vincci helios beach
tunis,tunisia,booking.com,1192462,2261.0,8.1,5,2018-06-24 21:37:02.802253,the penthouse suites hotel
"les berges du lac, tunis",tunisia,booking.com,180089,2220.0,7.5,5,2018-06-24 21:37:02.802253,concorde hotel les berges du lac
sidi bou said,tunisia,booking.com,733392,4200.0,8.9,5,2018-06-24 21:37:02.802253,la villa bleue
jounieh,lebanon,booking.com,1981248,1323.0,9.0,5,2018-06-24 21:37:02.802253,burj on bay hotel
beit meri,lebanon,booking.com,273332,1867.0,8.1,5,2018-06-24 21:37:02.802253,hotel al bustan
kfardebian,lebanon,booking.com,74938,4094.0,7.7,5,2018-06-24 21:37:02.802253,intercontinental mzaar lebanon mountain resort & spa
beirut,lebanon,booking.com,1845674,3176.0,8.7,5,2018-06-24 21:37:02.802253,kempinski summerland hotel & resort beirut
beirut,lebanon,booking.com,2473464,1083.0,8.7,4,2018-06-24 21:37:02.802253,beverly hotel beirut
beirut,lebanon,booking.com,1054952,2165.0,8.6,5,2018-06-24 21:37:02.802253,o monot boutique hotel beirut
jbeil,lebanon,booking.com,1407384,1323.0,7.9,3,2018-06-24 21:37:02.802253,bourj al fidar resort
beirut,lebanon,booking.com,72857,1251.0,8.2,5,2018-06-24 21:37:02.802253,radisson blu martinez beirut
beirut,lebanon,booking.com,68726,1469.0,8.2,5,2018-06-24 21:37:02.802253,gefinor rotana - beirut
beirut,lebanon,booking.com,74975,2791.0,7.9,5,2018-06-24 21:37:02.802253,movenpick hotel beirut
"ras beirut, beirut",lebanon,booking.com,72819,2647.0,7.1,5,2018-06-24 21:37:02.802253,riviera hotel beirut
amman,jordan,booking.com,291665,1169.0,9.1,4,2018-06-24 21:37:02.802253,amman international hotel
amman,jordan,booking.com,1607467,508.0,6.8,3,2018-06-24 21:37:02.802253,president hotel
amman,jordan,booking.com,68699,1606.0,7.7,5,2018-06-24 21:37:02.802253,crowne plaza amman
amman,jordan,booking.com,506113,1067.0,8.8,3,2018-06-24 21:37:02.802253,celino hotel
amman,jordan,booking.com,73934,1694.0,7.5,5,2018-06-24 21:37:02.802253,le royal amman
amman,jordan,booking.com,1900024,1575.0,8.6,4,2018-06-24 21:37:02.802253,sulaf luxury hotel
amman,jordan,booking.com,2647900,864.0,8.7,3,2018-06-24 21:37:02.802253,viola hotel suites
amman,jordan,booking.com,1431074,1085.0,7.6,4,2018-06-24 21:37:02.802253,olive tree hotel amman
amman,jordan,booking.com,909912,474.0,7.8,3,2018-06-24 21:37:02.802253,milano hotel suites
amman,jordan,booking.com,68460,1584.0,7.4,5,2018-06-24 21:37:02.802253,kempinski hotel amman
"hivernage, marrakech",morocco,booking.com,98956,3591.0,9.1,5,2018-06-24 21:37:02.802253,es saadi marrakech resort - palace
"hivernage, marrakech",morocco,booking.com,327244,6815.0,9.1,5,2018-06-24 21:37:02.802253,"dar rhizlane, palais table d'hotes & spa"
sale,morocco,booking.com,287091,1802.0,8.3,5,2018-06-24 21:37:02.802253,dawliz resort & spa
"hivernage, marrakech",morocco,booking.com,1606338,1880.0,8.4,5,2018-06-24 21:37:02.802253,savoy le grand hotel marrakech
oran,algeria,booking.com,1318991,1159.0,8.1,4,2018-06-24 21:37:02.802253,best western hotel colombe
alger,algeria,booking.com,3359701,1390.0,,4,2018-06-24 21:37:02.802253,soltane hotel
alger,algeria,booking.com,3080350,1518.0,,3,2018-06-24 21:37:02.802253,suisse
tlemcen,algeria,booking.com,2739710,769.0,7.7,2,2018-06-24 21:37:02.802253,hotel grand bassin
alger,algeria,booking.com,2726154,2231.0,5.5,5,2018-06-24 21:37:02.802253,el djazair
oran,algeria,booking.com,3614928,1046.0,,3,2018-06-24 21:37:02.802253,l'escale hotel
alger,algeria,booking.com,3614051,1026.0,,3,2018-06-24 21:37:02.802253,dar el aaz
bab ezzouar,algeria,booking.com,3011494,2123.0,,4,2018-06-24 21:37:02.802253,jardy hotel
constantine,algeria,booking.com,3046181,513.0,7.8,2,2018-06-24 21:37:02.802253,hotel remes
alger,algeria,booking.com,2850043,1067.0,,3,2018-06-24 21:37:02.802253,hotel dar el ikram
alger,algeria,booking.com,3423571,1169.0,,3,2018-06-24 21:37:02.802253,st hotel
alger,algeria,booking.com,3092937,626.0,7.4,3,2018-06-24 21:37:02.802253,hotel samir
"al barsha, dubai",united arab emirates,booking.com,1405670,688.0,8.7,4,2018-06-24 21:37:02.802253,flora al barsha
"palm jumeirah, dubai",united arab emirates,booking.com,2233644,1441.0,8.0,5,2018-06-24 21:37:02.802253,dukes dubai hotel - palm jumeirah
"downtown dubai, dubai",united arab emirates,booking.com,67267,1597.0,8.7,4,2018-06-24 21:37:02.802253,vida downtown
"jumeirah, dubai",united arab emirates,booking.com,68194,1198.0,7.8,5,2018-06-24 21:37:02.802253,dubai marine beach resort & spa
"al wasl, dubai",united arab emirates,booking.com,74418,606.0,7.8,2,2018-06-24 21:37:02.802253,holiday inn express dubai safa park
"bur dubai, dubai",united arab emirates,booking.com,67310,427.0,7.2,3,2018-06-24 21:37:02.802253,admiral plaza hotel
dubai,united arab emirates,booking.com,67305,812.0,8.6,5,2018-06-24 21:37:02.802253,pullman dubai creek city centre
dubai,united arab emirates,booking.com,299892,734.0,7.5,4,2018-06-24 21:37:02.802253,m hotel downtown by millennium
dubai,united arab emirates,booking.com,177384,593.0,7.4,3,2018-06-24 21:37:02.802253,florida city hotel apartments (previously flora hotel apartments)
yasmine hammamet,tunisia,booking.com,44743,3094.0,7.3,4,2018-06-24 21:37:02.802253,hotel bel azur thalasso & bungalows
"la medina, tunis",tunisia,booking.com,1283651,1547.0,8.4,5,2018-06-24 21:37:02.802253,palais bayram
yasmine hammamet,tunisia,booking.com,340717,4480.0,6.5,4,2018-06-24 21:37:02.802253,shell beach hotel & spa
la marsa,tunisia,booking.com,1004013,2730.0,8.6,5,2018-06-24 21:37:02.802253,dar el marsa hotel & spa
yasmine hammamet,tunisia,booking.com,1773192,2121.0,7.8,4,2018-06-24 21:37:02.802253,vincci marillia
tunis,tunisia,booking.com,1535731,1092.0,7.8,4,2018-06-24 21:37:02.802253,business hotel
yasmine hammamet,tunisia,booking.com,42107,672.0,,2,2018-06-24 21:37:02.802253,hotel residence la paix
jbeil,lebanon,booking.com,248303,1444.0,8.1,3,2018-06-24 21:37:02.802253,ahiram hotel byblos
beirut,lebanon,booking.com,1592008,998.0,9.2,4,2018-06-24 21:37:02.802253,urban central suites - beirut
beirut,lebanon,booking.com,184904,1337.0,8.2,4,2018-06-24 21:37:02.802253,raouche arjaan by rotana
beirut,lebanon,booking.com,73511,3935.0,8.8,5,2018-06-24 21:37:02.802253,intercontinental phoenicia beirut
beirut,lebanon,booking.com,46875,1155.0,8.3,4,2018-06-24 21:37:02.802253,lancaster raouche hotel
beirut,lebanon,booking.com,23832,1323.0,8.1,4,2018-06-24 21:37:02.802253,ramada beirut downtown
beirut,lebanon,booking.com,341197,1203.0,7.7,4,2018-06-24 21:37:02.802253,bayview hotel beirut
beirut,lebanon,booking.com,184754,974.0,7.7,4,2018-06-24 21:37:02.802253,coral beirut al hamra hotel
beirut,lebanon,booking.com,1592983,1564.0,8.8,4,2018-06-24 21:37:02.802253,gems hotel
beirut,lebanon,booking.com,1850955,1630.0,8.2,5,2018-06-24 21:37:02.802253,royal tulip achrafieh
trablous,lebanon,booking.com,579552,1501.0,7.6,5,2018-06-24 21:37:02.802253,lamunia hotel
beirut,lebanon,booking.com,292832,1380.0,8.3,4,2018-06-24 21:37:02.802253,lancaster suites raouche
beirut,lebanon,booking.com,248298,1083.0,8.4,4,2018-06-24 21:37:02.802253,hotel cavalier
amman,jordan,booking.com,182404,676.0,7.2,3,2018-06-24 21:37:02.802253,ibis amman
amman,jordan,booking.com,2163541,838.0,8.4,4,2018-06-24 21:37:02.802253,gerasa hotel
amman,jordan,booking.com,68689,1440.0,6.8,5,2018-06-24 21:37:02.802253,regency palace amman
amman,jordan,booking.com,72595,1338.0,8.2,5,2018-06-24 21:37:02.802253,landmark amman hotel & conference center
amman,jordan,booking.com,1502173,360.0,7.7,2,2018-06-24 21:37:02.802253,zaina plaza hotel
amman,jordan,booking.com,191491,1400.0,7.8,5,2018-06-24 21:37:02.802253,bristol hotel
"maarif, casablanca",morocco,booking.com,1957883,1322.0,9.1,4,2018-06-24 21:37:02.802253,down town hotel by business & leisure hotels
"agdal-ryad, rabat",morocco,booking.com,651847,1853.0,7.3,4,2018-06-24 21:37:02.802253,hotel atlantic agdal
"medina, marrakech",morocco,booking.com,1916894,1799.0,7.9,4,2018-06-24 21:37:02.802253,medina gardens - adults only - all inclusive available
marrakech,morocco,booking.com,366217,2940.0,9.0,5,2018-06-24 21:37:02.802253,tigmiza suites & pavillons
essaouira,morocco,booking.com,98298,1832.0,8.5,5,2018-06-24 21:37:02.802253,"le medina essaouira hotel thalassa sea & spa, mgallery collection"
"hivernage, marrakech",morocco,booking.com,417235,4900.0,9.2,5,2018-06-24 21:37:02.802253,four seasons resort marrakech
taghazout,morocco,booking.com,370912,3052.0,8.7,4,2018-06-24 21:37:02.802253,paradis plage surf yoga & spa
alger,algeria,booking.com,2850026,1292.0,6.6,4,2018-06-24 21:37:02.802253,hotel el biar
constantine,algeria,booking.com,2675268,1077.0,7.1,4,2018-06-24 21:37:02.802253,hotel hocine
tlemcen,algeria,booking.com,357811,1780.0,8.8,5,2018-06-24 21:37:02.802253,renaissance tlemcen hotel
oran,algeria,booking.com,3254971,1251.0,,3,2018-06-24 21:37:02.802253,assala hotel
annaba,algeria,booking.com,3045357,1138.0,,4,2018-06-24 21:37:02.802253,hotel sabri
alger,algeria,booking.com,1668227,1743.0,8.4,3,2018-06-24 21:37:02.802253,hotel best night
oran,algeria,booking.com,3422966,892.0,,3,2018-06-24 21:37:02.802253,charm el cheikh hotel
setif,algeria,booking.com,3375470,892.0,,3,2018-06-24 21:37:02.802253,el kenz
alger,algeria,booking.com,3391411,1120.0,,3,2018-06-24 21:37:02.802253,space telemly hotel
alger,algeria,booking.com,2850031,1631.0,5.5,3,2018-06-24 21:37:02.802253,dar diaf alger
oran,algeria,booking.com,3423292,656.0,,2,2018-06-24 21:37:02.802253,lalla mokhtara
annaba,algeria,booking.com,3045334,1026.0,,4,2018-06-24 21:37:02.802253,hotel rym el djamil
oran,algeria,booking.com,2857986,660.0,,3,2018-06-24 21:37:02.802253,hotel timgad
chlef,algeria,booking.com,2920731,718.0,,3,2018-06-24 21:37:02.802253,hotel castellum
dubai,united arab emirates,booking.com,187984,508.0,6.9,4,2018-06-24 21:37:02.802253,pearl park hotel apartments
"trade centre, dubai",united arab emirates,booking.com,1588460,505.0,7.7,3,2018-06-24 21:37:02.802253,ibis one central - world trade centre dubai
"al barsha, dubai",united arab emirates,booking.com,1956476,5729.0,9.7,5,2018-06-24 21:37:02.802253,aspen chalets by kempinski
dubai,united arab emirates,booking.com,1630603,1258.0,7.8,5,2018-06-24 21:37:02.802253,the westin dubai al habtoor city
ras al khaimah,united arab emirates,booking.com,582573,1670.0,9.0,5,2018-06-24 21:37:02.802253,waldorf astoria ras al khaimah
abu dhabi,united arab emirates,booking.com,1880958,1261.0,8.9,5,2018-06-24 21:37:02.802253,bab al qasr hotel
dubai,united arab emirates,booking.com,1566221,1965.0,8.8,5,2018-06-24 21:37:02.802253,the st. regis dubai
"al maryah island, abu dhabi",united arab emirates,booking.com,536022,1646.0,9.1,5,2018-06-24 21:37:02.802253,rosewood abu dhabi
"al barsha, dubai",united arab emirates,booking.com,239804,553.0,7.9,4,2018-06-24 21:37:02.802253,ramada chelsea hotel al barsha
nefza,tunisia,booking.com,1239351,588.0,7.5,3,2018-06-24 21:37:02.802253,hotel alrawabi
gammarth,tunisia,booking.com,42031,2520.0,7.3,5,2018-06-24 21:37:02.802253,carthage thalasso resort
gammarth,tunisia,booking.com,42037,1624.0,7.4,5,2018-06-24 21:37:02.802253,ramada plaza tunis
gammarth,tunisia,booking.com,248736,3330.0,7.6,5,2018-06-24 21:37:02.802253,movenpick hotel gammarth tunis
beirut,lebanon,booking.com,293146,2225.0,8.1,5,2018-06-24 21:37:02.802253,le patio boutique hotel beirut downtown
jbeil,lebanon,booking.com,261871,1383.0,8.6,3,2018-06-24 21:37:02.802253,monoberge hotel
beirut,lebanon,booking.com,402061,782.0,7.9,4,2018-06-24 21:37:02.802253,wh hotel
dbayeh,lebanon,booking.com,572174,1023.0,8.3,4,2018-06-24 21:37:02.802253,liqaa hotel
beirut,lebanon,booking.com,72321,1501.0,8.4,5,2018-06-24 21:37:02.802253,le bristol hotel beirut
beirut,lebanon,booking.com,310216,3368.0,9.1,5,2018-06-24 21:37:02.802253,albergo hotel
